# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 22 11:47:38 2023
#
# User ID:         asafka7a
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 50)
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
HD 114386 b,1,0,1.730000,0.030000,-0.030000,0,0.60,0.09,-0.09,0,1.000,10.000,-1.000,1,27.9243000,0.0404000,-0.0404000
HD 113538 c,1,0,2.440000,0.070000,-0.070000,0,0.58,0.05,-0.05,0,4.300,4.000,-4.000,0,16.2817000,0.0139000,-0.0140000
HD 113538 b,1,0,1.240000,0.040000,-0.040000,0,0.58,0.05,-0.05,0,4.300,4.000,-4.000,0,16.2817000,0.0139000,-0.0140000
HD 113337 c,1,0,6.805000,0.536000,-0.468000,0,1.41,0.24,-0.24,0,0.150,0.100,-0.050,0,36.1800000,0.0565000,-0.0563000
HD 113337 b,1,0,1.022000,0.055000,-0.062000,0,1.41,0.24,-0.24,0,0.150,0.100,-0.050,0,36.1800000,0.0565000,-0.0563000
HD 111998 b,1,0,1.820000,0.070000,-0.070000,0,1.18,0.12,-0.12,0,1.900,0.600,-0.700,0,33.2237000,0.0603000,-0.0600000
HD 111232 c,1,0,17.250000,2.158000,-2.151000,0,0.96,0.12,-0.12,0,13.000,,,-1,28.9571000,0.0362000,-0.0361000
HD 111232 b,1,0,2.148000,0.088000,-0.097000,0,0.96,0.12,-0.12,0,5.200,,,0,28.9571000,0.0362000,-0.0361000
HD 108147 b,1,0,0.102000,0.005900,-0.005900,0,1.22,0.22,-0.14,0,3.200,0.720,-0.880,0,38.9200000,0.0488000,-0.0487000
HD 10697 b,1,0,2.051000,0.079000,-0.087000,0,0.99,0.12,-0.12,0,6.980,0.410,-0.410,0,33.1205000,0.0442000,-0.0442000
HD 10647 b,1,0,2.015000,0.011000,-0.011000,0,1.11,0.02,-0.02,0,1.400,0.900,-0.900,0,17.3357000,0.0223000,-0.0223000
HD 106252 b,1,0,2.610000,0.040000,-0.040000,0,1.01,0.05,-0.05,0,4.190,0.650,-0.650,0,38.1850000,0.0790000,-0.0787000
HD 104067 b,1,0,0.260000,0.000000,0.000000,0,0.62,0.13,-0.13,0,4.330,3.990,-3.990,0,20.3632000,0.0245000,-0.0244000
HD 103720 b,1,0,0.049800,0.000800,-0.000800,0,0.79,0.04,-0.04,0,3.800,3.700,-3.700,0,45.5352000,0.1032000,-0.1026000
HD 102195 b,1,0,0.050000,0.000000,0.000000,0,0.76,0.04,-0.04,0,2.400,1.800,-1.800,0,29.3386000,0.0482000,-0.0480000
HD 102117 b,1,0,0.150000,0.000000,0.000000,0,1.06,0.07,-0.07,0,10.000,,,-1,39.5792000,0.0646000,-0.0644000
HD 10180 h,1,0,3.381000,0.121000,-0.121000,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 10180 g,1,0,1.427000,0.028000,-0.028000,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 10180 f,1,0,0.492900,0.007800,-0.007800,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 10180 e,1,0,0.269900,0.004300,-0.004300,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 10180 d,1,0,0.128590,0.002020,-0.002020,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 10180 c,1,0,0.064120,0.001010,-0.001010,0,1.06,0.05,-0.05,0,4.300,0.500,-0.500,0,38.9607000,0.0387000,-0.0386000
HD 100777 b,1,0,1.030000,0.030000,-0.030000,0,0.83,0.04,-0.04,0,2.000,,,-1,49.5336000,0.1459000,-0.1451000
HAT-P-11 c,1,0,4.130000,0.290000,-0.160000,0,0.81,0.02,-0.03,0,6.500,5.900,-4.100,0,37.7647000,0.0337000,-0.0336000
HAT-P-11 b,1,0,0.052540,0.000640,-0.000660,0,0.81,0.02,-0.03,0,6.500,5.900,-4.100,0,37.7647000,0.0337000,-0.0336000
GU Psc b,1,0,2000.000000,200.000000,-200.000000,0,0.33,0.03,-0.03,0,0.100,0.030,-0.030,0,47.5501000,0.1649000,-0.1638000
GJ 9827 d,1,0,0.055900,0.000460,-0.000460,0,0.61,0.02,-0.01,0,10.000,3.000,-5.000,0,29.6610000,0.0543000,-0.0541000
GJ 9827 c,1,0,0.039250,0.000330,-0.000330,0,0.61,0.02,-0.01,0,10.000,3.000,-5.000,0,29.6610000,0.0543000,-0.0541000
GJ 9827 b,1,0,0.018800,0.000160,-0.000160,0,0.61,0.02,-0.01,0,10.000,3.000,-5.000,0,29.6610000,0.0543000,-0.0541000
GJ 9689 b,1,0,0.113900,0.003900,-0.003900,0,0.59,0.06,-0.06,0,8.900,3.900,-3.900,0,30.6203000,0.0418500,-0.0418500
GJ 887 c,1,0,0.120000,0.004000,-0.004000,0,0.49,0.05,-0.05,0,2.880,3.850,-2.880,0,3.2900000,0.0100000,-0.0100000
GJ 887 b,1,0,0.068000,0.002000,-0.002000,0,0.49,0.05,-0.05,0,2.880,3.850,-2.880,0,3.2900000,0.0100000,-0.0100000
GJ 876 e,1,0,0.334300,0.001300,-0.001300,0,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 d,1,0,0.020807,0.000000,0.000000,0,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 c,1,0,0.129590,0.000024,-0.000024,0,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 b,1,0,0.208317,0.000020,-0.000020,0,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 849 c,1,0,4.950000,0.250000,-0.280000,0,0.50,0.01,-0.01,0,3.000,,,-1,8.8005800,0.0036150,-0.0036150
GJ 849 b,1,0,2.320000,0.110000,-0.130000,0,0.50,0.01,-0.01,0,3.000,,,-1,8.8005800,0.0036150,-0.0036150
GJ 832 b,1,0,3.560000,0.280000,-0.280000,0,0.45,0.05,-0.05,0,9.240,,,0,4.9643500,0.0010650,-0.0010650
GJ 674 b,1,0,0.039000,,,0,0.35,,,0,0.550,0.450,-0.450,0,4.5489600,0.0010150,-0.0010150
GJ 649 b,1,0,1.112000,0.035000,-0.037000,0,0.53,0.01,-0.01,0,0.440,,,1,10.3796000,0.0033500,-0.0033500
GJ 581 e,1,0,0.028150,0.000060,-0.000060,0,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 581 c,1,0,0.072100,0.000300,-0.000300,0,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 581 b,1,0,0.040610,0.000030,-0.000030,0,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 536 b,1,0,0.066610,0.000011,-0.000013,0,0.52,0.05,-0.05,0,0.400,,,1,10.4092000,0.0095500,-0.0095500
GJ 514 b,1,0,0.422000,0.014000,-0.015000,0,0.51,0.05,-0.05,0,0.800,,,-1,7.6177800,0.0031750,-0.0031750
GJ 504 b,1,0,43.500000,,,0,1.22,0.08,-0.08,0,0.160,0.350,-0.060,0,17.5299000,0.0785000,-0.0778000
GJ 436 b,1,0,0.029100,0.001500,-0.001500,0,0.47,0.07,-0.07,0,6.000,4.000,-5.000,0,9.7532100,0.0089800,-0.0089600
GJ 4276 b,1,0,0.082000,0.002000,-0.002000,0,0.41,0.03,-0.03,0,6.900,1.100,-1.100,0,21.3362000,0.0172000,-0.0172000
GJ 411 b,1,0,0.078790,0.000560,-0.000550,0,0.39,0.01,-0.01,0,8.047,3.958,-4.523,0,5.6757730,0.0059099,-0.0059099
GJ 3929 c,1,0,0.081000,0.002000,-0.002000,0,0.31,0.03,-0.02,0,7.100,4.100,-4.900,0,15.8095000,0.0096000,-0.0095000
GJ 3929 b,1,0,0.025200,0.000500,-0.000500,0,0.31,0.03,-0.02,0,7.100,4.100,-4.900,0,15.8095000,0.0096000,-0.0095000
GJ 3634 b,1,0,0.028700,0.001000,-0.001100,0,0.45,0.05,-0.05,0,5.000,,,0,20.3779000,0.0316500,-0.0316500
GJ 3512 c,1,0,1.292000,0.003000,-0.003000,0,0.12,0.01,-0.01,0,5.500,2.500,-2.500,0,9.4863700,0.0085700,-0.0085600
GJ 3512 b,1,0,0.337000,0.001000,-0.001000,0,0.12,0.01,-0.01,0,5.500,2.500,-2.500,0,9.4863700,0.0085700,-0.0085600
GJ 3470 b,1,0,0.035500,0.001900,-0.001900,0,0.54,0.05,-0.04,0,1.650,1.350,-1.350,0,29.4214000,0.0508000,-0.0507000
GJ 317 c,1,0,5.230000,0.111000,-0.111000,0,0.42,0.02,-0.02,0,5.000,,,0,15.1968000,0.0130000,-0.0129000
GJ 317 b,1,0,1.151000,0.018000,-0.018000,0,0.42,0.02,-0.02,0,5.000,,,0,15.1968000,0.0130000,-0.0129000
GJ 163 d,1,0,1.030400,0.008600,-0.008600,0,0.40,0.02,-0.02,0,6.000,4.000,-4.000,0,15.1285000,0.0072000,-0.0072000
GJ 163 c,1,0,0.125400,0.000100,-0.000100,0,0.40,0.02,-0.02,0,6.000,4.000,-4.000,0,15.1285000,0.0072000,-0.0072000
GJ 163 b,1,0,0.060700,0.000010,-0.000010,0,0.40,0.02,-0.02,0,6.000,4.000,-4.000,0,15.1285000,0.0072000,-0.0072000
GJ 143 b,1,0,0.191500,0.005800,-0.006300,0,0.73,0.07,-0.07,0,3.800,3.700,-3.700,0,16.3200000,0.0071000,-0.0071000
GJ 1252 b,1,0,0.009150,0.000150,-0.000150,0,0.38,0.02,-0.02,0,3.900,0.400,-0.400,0,20.3730000,0.0192000,-0.0192000
GJ 1214 b,1,0,0.014900,0.000260,-0.000260,0,0.18,0.01,-0.01,0,3.000,,,-1,14.6427000,0.0372000,-0.0372000
GJ 1132 c,1,0,0.047600,0.001700,-0.001700,0,0.18,0.02,-0.02,0,5.000,,,-1,12.6130000,0.0070000,-0.0070000
GJ 1132 b,1,0,0.015300,0.000500,-0.000500,0,0.18,0.02,-0.02,0,5.000,,,-1,12.6130000,0.0070000,-0.0070000
GJ 1061 d,1,0,0.054000,0.001000,-0.001000,0,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
GJ 1061 c,1,0,0.035000,0.001000,-0.001000,0,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
GJ 1061 b,1,0,0.021000,0.001000,-0.001000,0,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
G 9-40 b,1,0,0.038500,0.007800,-0.005300,0,0.29,0.02,-0.02,0,9.900,2.600,-4.100,0,27.9276000,0.0451000,-0.0450000
DENIS-P J082303.1-491201 b,1,0,0.360000,0.010000,-0.010000,0,0.07,0.01,-0.01,0,1.000,,,0,20.7700000,0.0800000,-0.0800000
COCONUTS-2 b,1,0,7506.000000,5205.000000,-2060.000000,0,0.37,0.02,-0.02,0,0.475,0.325,-0.325,0,10.8864000,0.0041000,-0.0042000
CD Cet b,1,0,0.018500,0.001300,-0.001300,0,0.16,0.01,-0.01,0,3.000,2.000,-2.000,0,8.6071500,0.0065800,-0.0065800
BD-210397 c,1,0,5.900000,3.400000,-0.500000,0,0.68,0.02,-0.02,0,6.200,4.700,-4.700,0,23.7324000,0.0228000,-0.0227000
BD-210397 b,1,0,2.630000,0.060000,-0.050000,0,0.68,0.02,-0.02,0,6.200,4.700,-4.700,0,23.7324000,0.0228000,-0.0227000
BD-17 63 b,1,0,1.340000,0.020000,-0.020000,0,0.74,0.03,-0.03,0,4.300,4.000,-4.000,0,34.4603000,0.0929000,-0.0924000
BD-11 4672 c,1,0,0.300000,0.010000,-0.010000,0,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
BD-11 4672 b,1,0,2.360000,0.040000,-0.040000,0,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
BD-08 2823 c,1,0,0.680000,0.020000,-0.020000,0,0.74,0.07,-0.07,0,4.500,4.000,-4.000,0,41.3342000,0.0685000,-0.0682000
BD-08 2823 b,1,0,0.060000,0.000000,0.000000,0,0.50,0.26,-0.26,0,4.500,4.000,-4.000,0,41.3342000,0.0685000,-0.0682000
BD-06 1339 c,1,0,0.435000,0.007000,-0.007000,0,0.70,,,0,4.400,4.000,-4.000,0,20.2695000,0.0220000,-0.0218000
BD+60 1417 b,1,0,1662.000000,,,0,1.00,,,0,0.100,0.050,-0.050,0,44.9543000,0.0593000,-0.0592000
AU Mic c,1,0,0.110100,0.002000,-0.002000,0,0.50,0.03,-0.03,0,0.022,0.003,-0.003,0,9.7221000,0.0046250,-0.0046250
AU Mic b,1,0,0.064500,0.001300,-0.001300,0,0.50,0.03,-0.03,0,0.022,0.003,-0.003,0,9.7221000,0.0046250,-0.0046250
AF Lep b,1,0,8.400000,1.100000,-1.300000,0,1.20,0.06,-0.06,0,0.024,0.003,-0.003,0,26.8564000,0.0189000,-0.0188000
70 Vir b,1,0,0.481000,0.022000,-0.022000,0,1.09,,,0,7.770,0.510,-0.510,0,17.9011000,0.0560000,-0.0557000
7 CMa c,1,0,2.153000,0.003000,-0.080000,0,1.34,0.11,-0.12,0,4.300,0.900,-1.300,0,19.8101000,0.1648000,-0.1648000
7 CMa b,1,0,1.758000,0.024000,-0.001000,0,1.34,0.11,-0.12,0,4.300,0.900,-1.300,0,19.8101000,0.1648000,-0.1648000
61 Vir d,1,0,0.476000,0.001000,-0.001000,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir c,1,0,0.217500,0.000100,-0.000100,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir b,1,0,0.050201,0.000005,-0.000005,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
51 Peg b,1,0,0.052700,0.003000,-0.003000,0,1.03,0.17,-0.09,0,10.000,,,0,15.4614000,0.0297000,-0.0297000
47 UMa d,1,0,11.600000,2.100000,-2.900000,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
47 UMa c,1,0,3.600000,0.100000,-0.100000,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
47 UMa b,1,0,2.100000,0.020000,-0.020000,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
2MASS J02192210-3925225 b,1,0,156.000000,10.000000,-10.000000,0,0.11,0.01,-0.01,0,0.035,0.005,-0.005,0,40.0896412,0.1940496,-0.1940496
2MASS J01225093-2439505 b,1,0,52.000000,6.000000,-6.000000,0,0.40,0.05,-0.05,0,0.120,0.010,-0.010,0,33.8281000,0.0864000,-0.0860000
14 Her b,1,0,2.774000,0.109000,-0.120000,0,0.91,0.11,-0.11,0,3.900,,,0,17.9323000,0.0073000,-0.0073000
